-26.73;0.656;0;0;0
-1.44;0.009;-0.49439;2.4768;-0.75836
-0.62;0.164;-6.06152;57.78918;-76.26348
-0.05;1.239;-8.82091;-5.93145;3.699
-0.01;0.71;-0.50362;-0.42139;-1.17665
0.03;-0.001;0.97021;-5.96774;4.85823
0.08;0.795;1.68845;8.82782;9.30687
0.18;-0.03;46.22087;229.94374;-33.80503
0.4;0.432;-1.46237;3.16092;0.31864
0.45;-0.158;21.72509;9.8678;-37.07729
0.45;1.5;2.738;129.93909;16.89611
0.61;-0.231;-68.26692;-40.94761;-139.97775
0.76;0.221;2.36166;-4.49935;0.79277
0.77;-0.243;-44.18934;-5.15177;-87.6883
0.87;1.538;6.86574;17.86724;5.67336
0.96;;1.68888;8.82647;9.30807
0.98;-0.235;-73.47908;-28.64586;-15.56035
1.06;1.865;-63.85476;-153.03932;-82.43231
1.16;0.991;-4.04731;8.17808;4.85711
1.17;0.145;6.43705;-1.79583;-3.79976
1.25;-0.238;-53.38329;-11.2793;-93.32933
1.25;0.092;451.13764;-530.87341;703.52277
1.35;0.9;-0.50359;-0.42128;-1.1767
1.36;-0.087;-20.53948;10.87804;4.92638
1.5;-0.211;-29.24151;111.80822;-63.98725
1.58;0.034;-5.38337;12.29279;8.34945
1.59;1.6;-14.50465;-1.98466;-22.64057
1.62;-0.231;-19.74938;-170.74621;-130.01296
1.64;-0.224;11.22414;73.20302;8.24121
1.65;-0.13;5.16912;34.89105;19.23714
1.67;0.07;-8.8216;7.85948;-31.96982
1.69;-0.184;42.62509;409.21811;-8.63204
1.73;-0.07;18.74799;-9.94423;-22.72651
1.74;-0.199;21.00476;249.60027;-8.49571
1.75;-0.145;-93.54538;147.49982;-189.52262
1.76;-0.022;-13.50599;-3.24419;20.56192
1.79;0.481;73.49915;91.02548;138.7451
1.79;-0.031;3.85283;-36.39388;-25.04395
1.81;1.061;-17.40365;4.36095;33.39272
1.83;0.671;-144.70267;470.42596;-244.24669
1.85;-0.099;-17.95173;-9.10176;23.4111
1.86;1.196;-57.28142;79.92552;-166.99876
1.86;0.406;-6.02696;-60.70066;-56.87827
1.9;0.077;0.03658;17.81857;17.78594
1.91;1.447;-13.96373;-43.4037;-118.94944
1.93;0.001;-5.04957;30.40998;9.07235
1.93;0.043;-9.29987;10.63221;-19.95657
1.94;-0.118;18.29157;-24.79932;-46.97423
1.97;0.636;1.33964;1.04462;132.26422
1.98;-0.24;-14.40557;144.96655;-47.21059
1.99;1.44;-42.27896;33.15465;-8.18195
2.01;1.151;15.75753;9.76736;8.04675
